,image,precision,recall,IOU
0,01174ba8-8544-4c99-82ae-3c551808f686,0.9528207062983642,0.7257326584649747,0.7005581443872583
1,017ec468-cc77-42d7-bc47-da1a978ecd32,0.9518507364431052,0.5249382523210293,0.5113596378610216
2,01a64a17-2f19-48af-a205-7f6e2b97c75f,0.9046474219192417,0.7175630203540964,0.6671074708036135
3,01aa897a-9d5a-412e-b04e-3416f3436130,0.9750415871638085,0.7544716682607646,0.7401770563396957
4,03cc1b9d-2496-4d4e-a912-ce52272bdcd3,0.9971315434880179,0.8112947872002233,0.8094057491181385
5,03ec0f32-17b4-450c-8d70-698a7e0346fd,0.9393976850510362,0.7232855623471377,0.6910412234988969
6,04f7c089-314e-4e9e-89dc-30db1731c700,0.9999999996191811,0.908776920654367,0.908776920654367
7,075b0cbb-99f1-473f-ba04-97132aab0d49,0.9958039058358278,0.737873606404024,0.7355864963099137
8,075d44c6-49c1-48ab-a77c-0db3fdb80973,0.6700203235972162,0.788876372261599,0.5681437958558413
9,07aaa697-9563-439f-99b7-69af47771f2f,0.9993621560313132,0.6720254762636971,0.6717373542901981
10,081ebba5-fa00-4fc6-83e1-5551c90d56cf,0.9504627319453188,0.7756470095924806,0.7455090399303878
11,0846bff4-1ca4-4307-b494-f79e0df719ed,0.6716747976175554,0.3038440856853452,0.2645518487870737
12,08c79ae2-1fc2-4dba-a278-ae2980a81b64,0.9737709155710838,0.8150669602570119,0.7975571505269999
13,0909abdd-9b61-45c9-b9ca-6b35183b848a,0.9999999945922561,0.09301810865191147,0.09301810865191147
14,09164208-2249-4e16-aef4-4058bf19b8ee,0.9796450310023463,0.9214262819124514,0.9041166920258749
15,0a1c697f-817c-46b7-8a0e-ed34e05b85ea,0.9999999985096647,0.24436335296281325,0.24436335296281325
16,0a5c2a82-82d2-40a2-a561-38f4fd8df22b,0.8409511814665243,0.9278384267151356,0.7893260854950396
17,0cb025e9-b108-439a-aa4e-a9322d446cf7,0.9900818793200136,0.9333530219180932,0.9247071575580448
18,0cc8aef3-07b3-4d75-a440-c6ea647ab3bb,0.6660499666590708,0.41810422154868804,0.3456455729796817
19,0d037949-cced-45ce-98e1-4a5b2eb4e53a,0.0,0.0,0.0
20,0d04ed22-d573-46fe-bb17-f28b45f852c0,0.9286638597975954,0.9116439870555366,0.8519808396731474
21,0d0b54b0-1236-4fb5-9907-aba7fd73d61d,0.989510418856215,0.6374817298598573,0.6332026713124274
22,0db5b8ac-0ef3-491d-9797-f9376c883b6b,0.9999999972679836,0.1409406826976762,0.1409406826976762
23,0dc03eab-8426-49b8-9e54-7c6ad30978ef,0.9666787076777165,0.9071567727151795,0.8796504733173827
24,0e66f0be-337f-4789-80b3-73e7924675c5,0.9621930354537611,0.7749008688122953,0.7520040104079635
25,0e969251-7f84-47bf-846c-63c8373cdbd9,0.8592330019427269,0.42341748041884625,0.395951170771971
26,0f683a2e-11ca-4c63-ae3d-2fed97c3a412,0.9944770579107594,0.7641937813480012,0.7609642209788006
27,112da14b-e403-4696-b96d-b4622225c4ee,0.6468946221430941,0.053527811942418624,0.052008236039968354
28,118c8e84-460b-4fac-8fd4-d696c3b8d1d9,0.9999999983798322,0.21120745703785324,0.21120745703785324
29,11af2b8e-2e30-4832-8135-caa2364f6d1c,0.9985548389651745,0.796635365731593,0.7957179568833361
30,1214f4de-8399-48ea-a2f6-6e31843bc3da,0.8627334488287525,0.6787817247974556,0.612619645645238
31,12ca77c4-a0b8-4939-8238-0acc68860c7e,0.19948027940395344,0.21070480684163964,0.11416824405713022
32,13889795-fad8-4aad-9a56-99a3ac1e8470,0.9723155359666475,0.853447985541249,0.8332012113817278
33,1441cc1c-2706-4d67-9ccf-0e9e21da73c5,0.998443659647192,0.4843405936607401,0.4839752052607094
34,144331d1-3514-44c3-970b-5e9d8323d17d,0.7431462284073705,0.6607707140184764,0.53791943321166
35,146da3d7-a058-4449-a0bc-b81caa59cee4,0.9649476349636014,0.5406459170603822,0.5302325098537254
36,147ee0b8-ddb0-4991-9fea-4ccdf7e84f74,0.7861504562540818,0.4242997867158941,0.38039514530426
37,148cdf0b-3d87-4ccc-a24c-00002b52e8a4,0.9864034688952034,0.7854372368708435,0.777024837107764
